,usmv,sphb,vix,hold_usmv,hold_sphb,usmv_ret,sphb_ret,total_ret,total_cumret
2021-09-17,73.53306579589844,72.9908676147461,20.809999465942383,1.0,0,-0.00784408511717638,-0.0,-0.00784408511717638,4.9369776157830305
2021-09-20,72.83543395996094,70.97623443603516,25.709999084472656,1.0,0,-0.00948732149797582,-0.0,-0.00948732149797582,4.880651600415811
2021-09-21,72.79666900634766,70.93672943115234,24.360000610351562,0.0,1,-0.0,-0.0005565948263769327,-0.0005565948263769327,4.877378460159294
2021-09-22,73.15519714355469,72.63533020019531,20.8700008392334,0.0,1,0.0,0.02394529297677228,0.02394529297677228,5.018114009323179
2021-09-23,73.65904998779297,74.3833236694336,18.6299991607666,1.0,0,0.006887451116419641,0.0,0.006887451116419641,5.059563475375433
2021-09-24,73.59678649902344,74.67959594726562,17.75,1.0,0,-0.0008452931279978593,0.0,-0.0008452931279978593,5.054441368011031
2021-09-27,72.87706756591797,75.44002532958984,18.760000228881836,1.0,0,-0.009779216829188808,0.0,-0.009779216829188808,4.995233673093641
2021-09-28,71.7585678100586,73.71178436279297,23.25,1.0,0,-0.015347760183238468,-0.0,-0.015347760183238468,4.903220264436524
2021-09-29,72.20597076416016,73.04023742675781,22.559999465942383,0.0,1,0.0,-0.009110441998391394,-0.009110441998391394,4.849439318613647
2021-09-30,71.48624420166016,72.1909408569336,23.139999389648438,0.0,1,-0.0,-0.011627790376172675,-0.011627790376172675,4.781423264398665
2021-10-01,71.88501739501953,73.80066680908203,21.100000381469727,0.0,1,0.0,0.022298171114552456,0.022298171114552456,4.910338429633881
2021-10-04,71.27227020263672,72.85260009765625,22.959999084472656,1.0,0,-0.008523990319368902,-0.0,-0.008523990319368902,4.859958762075488
2021-10-05,71.70994567871094,73.56363677978516,21.299999237060547,0.0,1,0.0,0.009759935557218213,0.009759935557218213,4.917151581961301
2021-10-06,72.04063415527344,73.42538452148438,21.0,1.0,0,0.004611472975368347,-0.0,0.004611472975368347,4.944438366572673
2021-10-07,72.68254852294922,74.23519897460938,19.540000915527344,1.0,0,0.008910448598942411,0.0,0.008910448598942411,4.997405979087601
2021-10-08,72.38103485107422,74.17593383789062,18.770000457763672,1.0,0,-0.004148364057154685,-0.0,-0.004148364057154685,4.972526555687789
2021-10-11,72.00171661376953,73.76117706298828,20.0,1.0,0,-0.005240574939072706,-0.0,-0.005240574939072706,4.941227082697106
2021-10-12,72.02117919921875,73.99817657470703,19.850000381469727,1.0,0,0.000270307242167922,0.0,0.000270307242167922,4.942833039404923
2021-10-13,72.45884704589844,73.95867156982422,18.639999389648438,1.0,0,0.006076932529375023,-0.0,0.006076932529375023,4.978947234818728
2021-10-14,73.51897430419922,75.39064025878906,16.860000610351562,1.0,0,0.014630749749982241,0.0,0.014630749749982241,5.066423715579709
2021-10-15,73.63569641113281,75.74617004394531,16.299999237060547,1.0,0,0.0015876460197965514,0.0,0.0015876460197965514,5.076055049046149
