,usmv,sphb,vix,hold_usmv,hold_sphb
2012-02-15,21.878015518188477,18.895721435546875,21.139999389648438,1.0,0
2012-04-09,22.51740074157715,18.25372886657715,18.809999465942383,1.0,0
2012-04-10,22.2442626953125,17.801937103271484,20.389999389648438,1.0,0
2012-05-09,22.670028686523438,17.437047958374023,20.079999923706055,1.0,0
2012-05-14,22.589696884155273,16.92444610595703,21.8700008392334,1.0,0
2012-05-15,22.573623657226562,16.655118942260742,21.969999313354492,1.0,0
2012-05-16,22.621828079223633,16.38578987121582,22.270000457763672,1.0,0
2012-05-17,22.276390075683594,16.01219367980957,24.489999771118164,1.0,0
2012-05-18,22.099666595458984,15.751545906066895,25.100000381469727,0.0,1
2012-06-01,22.067529678344727,15.299769401550293,26.65999984741211,0.0,1
2012-07-24,23.172868728637695,15.779342651367188,20.469999313354492,1.0,0
2012-08-30,23.62360954284668,17.2257022857666,17.829999923706055,1.0,0
2012-09-04,23.744348526000977,17.24312973022461,17.979999542236328,1.0,0
2012-10-19,23.997512817382812,18.277009963989258,17.059999465942383,1.0,0
2012-10-23,23.76263999938965,17.97181510925293,18.829999923706055,1.0,0
2012-11-07,23.51967430114746,17.73638153076172,19.079999923706055,1.0,0
2012-12-19,23.926820755004883,19.192604064941406,17.360000610351562,1.0,0
2012-12-20,23.992046356201172,19.332128524780273,17.670000076293945,1.0,0
2012-12-21,23.828994750976562,19.106216430664062,17.84000015258789,1.0,0
2012-12-24,23.771930694580078,19.018648147583008,17.84000015258789,1.0,0
2012-12-26,23.625192642211914,19.001136779785156,19.479999542236328,1.0,0
2012-12-28,23.385377883911133,18.66840362548828,22.719999313354492,1.0,0
2013-02-04,24.853591918945312,20.647315979003906,14.670000076293945,1.0,0
2013-02-20,25.236968994140625,20.691097259521484,14.680000305175781,1.0,0
2013-02-21,25.171710968017578,20.358362197875977,15.220000267028809,1.0,0
2013-02-25,25.122766494750977,19.885520935058594,18.989999771118164,1.0,0
2013-04-15,26.84714126586914,19.8581600189209,17.270000457763672,1.0,0
2013-04-18,26.920825958251953,19.612668991088867,17.559999465942383,1.0,0
2013-05-29,27.3138427734375,22.576047897338867,14.829999923706055,1.0,0
2013-05-31,26.920825958251953,22.356861114501953,16.299999237060547,1.0,0
2013-06-05,26.609708786010742,21.778207778930664,17.5,1.0,0
2013-06-12,26.789831161499023,21.734376907348633,18.59000015258789,1.0,0
2013-06-20,26.249452590942383,21.594093322753906,20.489999771118164,1.0,0
2013-08-15,27.26178741455078,23.073171615600586,14.729999542236328,1.0,0
2013-08-19,26.965457916259766,22.660367965698242,15.100000381469727,1.0,0
2013-08-21,26.981924057006836,22.748193740844727,15.9399995803833,1.0,0
2013-08-27,26.883148193359375,22.493486404418945,16.770000457763672,1.0,0
2013-08-29,26.940763473510742,22.69549560546875,16.809999465942383,1.0,0
2013-08-30,26.891374588012695,22.502269744873047,17.010000228881836,1.0,0
2013-10-02,27.664974212646484,24.09687614440918,16.600000381469727,1.0,0
2013-10-03,27.440929412841797,23.868133544921875,17.670000076293945,1.0,0
2013-10-07,27.391136169433594,23.832942962646484,19.40999984741211,1.0,0
2013-10-08,27.200298309326172,23.375465393066406,20.34000015258789,1.0,0
2013-12-02,29.150287628173828,25.82122802734375,14.229999542236328,1.0,0
2013-12-03,29.075605392456055,25.63646697998047,14.550000190734863,1.0,0
