,usmv,sphb,vix,hold_usmv,hold_sphb,usmv_ret,sphb_ret,total_ret,total_cumret
2011-10-20,20.226341247558594,15.658382415771484,34.779998779296875,,1,,,,
2011-10-21,20.473587036132812,16.160432815551758,31.31999969482422,0.0,1,0.0,0.0320627243893723,0.0320627243893723,0.0320627243893723
2011-10-24,20.473587036132812,16.740373611450195,29.260000228881836,0.0,1,0.0,0.03588646433654552,0.03588646433654552,0.06909980654124959
2011-10-25,20.40179443359375,16.2729549407959,32.220001220703125,0.0,1,-0.0,-0.027921639116500252,-0.027921639116500252,0.0392487875634846
2011-10-26,20.489545822143555,16.48069190979004,29.860000610351562,0.0,1,0.0,0.012765780385303627,0.012765780385303627,0.05251560935121313
2011-10-27,20.760705947875977,17.56267738342285,25.459999084472656,0.0,1,0.0,0.06565170197678905,0.06565170197678905,0.12161505046225751
2011-10-28,20.75274085998535,17.753101348876953,24.530000686645508,0.0,1,-0.0,0.01084253620884934,0.01084253620884934,0.133776202259285
2011-10-31,20.70488166809082,16.965415954589844,29.959999084472656,0.0,1,-0.0,-0.044368889627103836,-0.044368889627103836,0.08347181107940593
2011-11-01,20.70488166809082,16.41144561767578,34.77000045776367,0.0,1,0.0,-0.03265291805381232,-0.03265291805381232,0.048093294818614574
2011-11-02,20.70488166809082,16.627845764160156,32.7400016784668,0.0,1,0.0,0.013185928377406508,0.013185928377406508,0.061913377936932745
2011-11-03,20.70488166809082,17.12122344970703,30.5,0.0,1,0.0,0.029671774236101456,0.029671774236101456,0.09342223194537325
2011-11-04,20.577272415161133,17.095258712768555,30.15999984741211,0.0,1,-0.0,-0.0015165234549240347,-0.0015165234549240347,0.09176403148449275
2011-11-07,20.49751091003418,17.069284439086914,29.850000381469727,0.0,1,-0.0,-0.0015193846503323005,-0.0015193846503323005,0.09010522197327031
2011-11-08,20.816537857055664,17.38089942932129,27.479999542236328,0.0,1,0.0,0.01825589065238198,0.01825589065238198,0.11000606370520494
2011-11-09,20.425735473632812,16.3768253326416,36.15999984741211,0.0,1,-0.0,-0.05776882265286176,-0.05776882265286176,0.045882320267417676
2011-11-10,20.5294132232666,16.51531410217285,32.810001373291016,0.0,1,0.0,0.008456386797703663,0.008456386797703663,0.05472670571247873
2011-11-11,20.89629364013672,17.026010513305664,30.040000915527344,0.0,1,0.0,0.03092259753422577,0.03092259753422577,0.08734159514182549
2011-11-14,20.760705947875977,16.800960540771484,31.1299991607666,0.0,1,-0.0,-0.013218009724492163,-0.013218009724492163,0.07296910336339613
2011-11-15,20.760705947875977,16.922142028808594,31.219999313354492,0.0,1,0.0,0.007212771421195363,0.007212771421195363,0.08070818424796133
2011-11-16,20.609172821044922,16.662466049194336,33.5099983215332,0.0,1,-0.0,-0.015345337438498086,-0.015345337438498086,0.06412435248812987
2011-11-17,20.250263214111328,16.16908073425293,34.5099983215332,0.0,1,-0.0,-0.029610581860135987,-0.029610581860135987,0.0326150112394159
2011-11-18,20.3619327545166,16.125802993774414,32.0,0.0,1,0.0,-0.0026765739617364837,-0.0026765739617364837,0.02985114078783435
2011-11-21,20.050870895385742,15.744951248168945,32.90999984741211,0.0,1,-0.0,-0.023617536798167582,-0.023617536798167582,0.0055285935736428815
