,usmv,sphb,^VIX,hold_usmv
2011-10-20,20.22634506225586,15.65838623046875,34.779998779296875,0
2011-10-21,20.473590850830078,16.160429000854492,31.31999969482422,0
2011-10-24,20.473590850830078,16.74036979675293,29.260000228881836,0
2011-10-25,20.401805877685547,16.272953033447266,32.220001220703125,0
2011-10-26,20.489538192749023,16.48069953918457,29.860000610351562,0
2011-10-27,20.760713577270508,17.56266975402832,25.459999084472656,0
2011-10-28,20.752731323242188,17.753097534179688,24.530000686645508,0
2011-10-31,20.704877853393555,16.965425491333008,29.959999084472656,0
2011-11-01,20.704877853393555,16.411447525024414,34.77000045776367,0
2011-11-02,20.704877853393555,16.627843856811523,32.7400016784668,0
2011-11-03,20.704877853393555,17.121227264404297,30.5,0
2011-11-04,20.577268600463867,17.095256805419922,30.15999984741211,0
2011-11-07,20.497514724731445,17.06928825378418,29.850000381469727,0
2011-11-08,20.81653594970703,17.380895614624023,27.479999542236328,0
2011-11-09,20.425731658935547,16.376821517944336,36.15999984741211,0
2011-11-10,20.5294189453125,16.515317916870117,32.810001373291016,0
2011-11-11,20.896303176879883,17.02600860595703,30.040000915527344,0
2011-11-14,20.760713577270508,16.80095863342285,31.1299991607666,0
2011-11-15,20.760713577270508,16.92214012145996,31.219999313354492,0
2011-11-16,20.609180450439453,16.662466049194336,33.5099983215332,0
2011-11-17,20.25026512145996,16.169082641601562,34.5099983215332,0
2011-11-18,20.361923217773438,16.125804901123047,32.0,0
2011-11-21,20.050878524780273,15.744945526123047,32.90999984741211,0
2011-11-22,20.050878524780273,15.51124382019043,31.969999313354492,0
2011-11-23,19.779706954956055,14.991894721984863,33.97999954223633,0
2011-11-25,19.77172088623047,14.913990020751953,34.470001220703125,0
2011-11-28,20.186460494995117,15.554518699645996,32.130001068115234,0
2011-11-29,20.21038818359375,15.580488204956055,30.639999389648438,0
2011-11-30,20.736787796020508,16.688434600830078,27.799999237060547,0
2011-12-01,20.896303176879883,16.61053466796875,27.40999984741211,0
2011-12-02,20.832496643066406,16.714401245117188,27.520000457763672,0
2011-12-05,20.792613983154297,17.034671783447266,27.84000015258789,0
2011-12-06,20.96807861328125,16.99138832092285,28.1299991607666,0
2011-12-07,20.96807861328125,17.000041961669922,28.670000076293945,0
2011-12-08,21.111637115478516,16.272953033447266,30.59000015258789,0
2011-12-09,20.984027862548828,16.723051071166992,26.3799991607666,0
2011-12-12,20.68892478942871,16.030588150024414,25.670000076293945,0
2011-12-13,20.64107894897461,15.822850227355957,25.40999984741211,0
2011-12-14,20.569297790527344,15.476619720458984,26.040000915527344,0
2011-12-15,20.65702247619629,15.476619720458984,25.110000610351562,0
2011-12-16,20.66499900817871,15.59027099609375,24.290000915527344,0
2011-12-19,20.66499900817871,15.165162086486816,24.920000076293945,0
2011-12-20,20.66499900817871,15.980679512023926,23.219999313354492,0
2011-12-21,21.09569549560547,16.067434310913086,21.43000030517578,0
2011-12-22,21.166074752807617,16.353731155395508,21.15999984741211,0
2011-12-23,21.334070205688477,16.431819915771484,20.729999542236328,0
2011-12-27,21.47005844116211,16.34505271911621,21.90999984741211,0
2011-12-28,21.310060501098633,15.998024940490723,23.520000457763672,0
2011-12-29,21.398059844970703,16.240947723388672,22.649999618530273,0
2011-12-30,21.374065399169922,16.27565574645996,23.399999618530273,0
2012-01-03,21.36605453491211,16.80487060546875,22.969999313354492,0
2012-01-04,21.27806854248047,16.839570999145508,22.219999313354492,0
2012-01-05,21.27806854248047,16.96103286743164,21.479999542236328,0
2012-01-06,21.350069046020508,16.95235824584961,20.6299991607666,0
2012-01-09,21.342069625854492,16.96103286743164,21.06999969482422,0
2012-01-10,21.462059020996094,17.403499603271484,20.690000534057617,0
2012-01-11,21.454050064086914,17.54230499267578,21.049999237060547,0
2012-01-12,21.534053802490234,17.611713409423828,20.469999313354492,0
2012-01-13,21.438058853149414,17.412166595458984,20.90999984741211,0
2012-01-17,21.56604766845703,17.412166595458984,22.200000762939453,0
2012-01-18,21.67803192138672,17.906688690185547,20.889999389648438,0
2012-01-19,21.750032424926758,18.123579025268555,19.8700008392334,1
2012-01-20,21.734025955200195,18.045495986938477,18.280000686645508,1
2012-01-23,21.694034576416016,18.175634384155273,18.670000076293945,1
2012-01-24,21.654041290283203,18.253711700439453,18.90999984741211,1
2012-01-25,21.806028366088867,18.479286193847656,18.309999465942383,1
2012-01-26,21.734025955200195,18.28841781616211,18.56999969482422,1
2012-01-27,21.718034744262695,18.28841781616211,18.530000686645508,1
2012-01-30,21.614044189453125,18.097553253173828,19.399999618530273,1
2012-01-31,21.654041290283203,18.02815055847168,19.440000534057617,1
2012-02-01,21.85401725769043,18.36650276184082,18.549999237060547,1
2012-02-02,21.774028778076172,18.444580078125,17.979999542236328,1
2012-02-03,21.91001319885254,18.999826431274414,17.100000381469727,1
2012-02-06,21.822025299072266,18.999826431274414,17.760000228881836,1
2012-02-07,21.9580135345459,19.025856018066406,17.649999618530273,1
2012-02-08,21.878023147583008,19.12129020690918,18.15999984741211,1
2012-02-09,21.9420166015625,19.190696716308594,18.6299991607666,1
2012-02-10,21.782028198242188,18.878366470336914,20.790000915527344,0
2012-02-13,21.85401725769043,19.112606048583984,19.040000915527344,1
2012-02-14,21.91001319885254,18.930421829223633,19.540000915527344,1
2012-02-15,21.878023147583008,18.895727157592773,21.139999389648438,0
2012-02-16,22.022005081176758,19.22539520263672,19.219999313354492,1
2012-02-17,22.062000274658203,19.2948055267334,17.780000686645508,1
2012-02-21,21.982006072998047,19.277450561523438,18.190000534057617,1
